name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id,google_name,google_rating,google_nbrating,google_address,google_type,google_lat,google_lon,distance
Le Grind,4df7b89c81dccac4a339022d,48.84260469679085,2.259664535522461,,Paris,"['Bd. Exelmans', 'Paris', 'France']",Hotel,75016,16,0,ChIJq6q6yN165kcROulporl6cfw,Chacun Son Café,,,"98 Route de la Reine, 92100 Boulogne-Billancourt, France","['cafe', 'food', 'point_of_interest', 'establishment']",48.8401362,2.2376207,1.6412236908647964
Hôtel Murat,4bc8d278762beee1208f3d38,48.83732261790986,2.2587996218198207,75016,Paris,"['119 bis boulevard Murat', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJZ_ny_ZV65kcRSYBNOaEfoFI,HOTEL MURAT,3.2,225,"119 Boulevard Murat, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8374659,2.258670399999999,0.018543901846395698
Hotel Acropolis,50375b51e4b0024b233c66f0,48.83593262805668,2.2492367308869685,,,['France'],Hotel,92100,0,2,ChIJG50dT-p65kcRrq6c9U0-hxg,Acropolis Hôtel Paris Boulogne,3.7,95,"63 Rue Thiers, 92100 Boulogne-Billancourt, France","['lodging', 'point_of_interest', 'establishment']",48.835945,2.249288,0.004007345740536914
Holiday Inn Paris Auteil,55956313498e77c4076f507a,48.837965974054526,2.2584394611784866,,,['France'],Hotel,75016,16,0,ChIJVx7YA7565kcRC1rxyKhvhhY,Holiday Inn Paris - Auteuil,4,188,"21 Rue Gudin, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8379973,2.2585556,0.009209883268402136
Sakura Hotel,4c488b160f5aa5932f9d8176,48.835570000000004,2.2495580000000004,,Tokyo,"['Tokyo', 'France']",Hotel,92100,0,0,ChIJGwk7T-p65kcR7t9zGYqAczU,Dream Sushi Boulogne,4.3,52,"63 Rue Thiers, 92100 Boulogne-Billancourt, France","['restaurant', 'food', 'point_of_interest', 'establishment']",48.835987,2.249248999999999,0.051624084380584905
Hôtel Printania,540f8936498eb9a90f99641d,48.83611297607422,2.2506566047668457,,Boulogne-Billancourt,"['48 Avenue Édouard Vaillant', 'Boulogne-Billancourt', 'France']",Hotel,92100,0,0,ChIJs70d-up65kcRCbyYWJlZwrw,Hôtel Printania,2.8,25,"48 Avenue Edouard Vaillant, 92100 Boulogne-Billancourt, France","['lodging', 'point_of_interest', 'establishment']",48.8360326,2.25052,0.013433629551585072
Hommes Excel Proche Du Palais Du Roi,4ec41d159adf106751c8ae05,48.840633544098644,2.265574618759072,,Paris,"['Paris', 'France']",Bed & Breakfast,75016,16,0,ChIJYVUgyIbEw0cRw2MIGVdkl7k,Palais du Roi,,,"Palais du Roi, 1000 Bruxelles, Belgium",['premise'],50.8417881,4.362330299999999,268.8420595719482
Hôtel À l'Orée du Parc,58a3ea91fc73d422d5847d55,48.838286243361,2.258576018856774,75016,Paris,"['215 avenue de Versailles', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJQ_I0B7565kcR2AB2q3ngJro,Hotel A L'Orée du Parc,1.8,4,"215 Avenue de Versailles, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8381049,2.2586665,0.0212322449672814
Hôtel Boileau,4c610a3312e5c928e1af204c,48.83737807612925,2.258764715366369,75016,Paris,"['81 rue Boileau', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJ8xpy-7x65kcRvtKZwkk-aEM,Hôtel Boileau,4,70,"81 Rue Boileau, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.84074,2.262475,0.462556359966047
193 Avenue De Versailles,51af25bc498e8cf2565c9316,48.839341999999995,2.262829,,,['France'],Bed & Breakfast,75016,16,0,ChIJdaywFr165kcRVfii_5wxod8,193 Avenue de Versailles,,,"193 Avenue de Versailles, 75016 Paris, France",['street_address'],48.8394139,2.2628376,0.00802063943637069
Cœur de City Hôtel Paris Tour Eiffel,4d3699c83612a093d378805d,48.83953722784667,2.2631197829817125,,Paris,"['11 rue Claude Terrasse', 'Paris', 'France']",Hotel,75016,16,0,ChIJLU7jZClu5kcR4PcOOO6p3I0,Eiffel Tower,4.6,183010,"Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France","['premise', 'point_of_interest', 'establishment']",48.85837009999999,2.2944813,3.1119353922781077
Mercure Aparthotel Le Scenario,4adcda03f964a520db3121e3,48.83395847614658,2.256216169108773,92100,Paris,"['63 Place René Clair', '92100 Paris', 'France']",Hotel,92100,0,5,ChIJHQcOX5R65kcRQI7zSPq8JY8,Mercure Paris Boulogne Hotel,4.1,829,"37 Place René Clair, 92100 Boulogne-Billancourt, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.83366660000001,2.2565382,0.04015587575374203
Hôtel Molitor,4b16b231f964a52030bc23e3,48.845172385975296,2.25329343788839,75016,Paris,"['8 avenue de la Porte Molitor (13 rue Nungesser et Coli)', '75016 Paris', 'France']",Hotel,75016,16,157,ChIJ1Z-HFcd65kcRzT3ZKuDSkW0,Hôtel Molitor Paris - MGallery,4.4,1182,"13 Rue Nungesser et Coli, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8449104,2.2526562,0.05510421758331193
Queen's Hotel Paris,4be1a37e8dd062b56f6f3e3c,48.8485003,2.2662028,,Paris,"['4 Rue Bastien Lepage', 'Paris', 'France']",Hotel,75016,16,5,ChIJF0KY7q965kcRtNf616LY5JA,Queen's Hotel Paris,4,85,"4 Rue Bastien Lepage, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.84861919999999,2.266162,0.01355732056797454
Villa du Square,5abfc3df9cadd93b8c7214e0,48.851864,2.264771,75016,Paris,"['26 Rue Raffet', '75016 Paris', 'France']",Bed & Breakfast,75016,16,0,ChIJL4a25bF65kcRpciD0Kjek8g,Villa Du Square,4.5,18,"26 Rue Raffet, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8518485,2.2648069,0.0031484187299050323
Hôtel Poussin,4adcda01f964a520443121e3,48.84855962396424,2.2612981561640955,75016,Paris,"['52 rue Poussin', '75016 Paris', 'France']",Hotel,75016,16,3,ChIJB-LilrB65kcRP67BrTsA5S8,Hôtel Poussin,3.1,92,"52 Rue Poussin, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8485684,2.261247,0.0038792954155711427
Mariott,4d3412a88250f04d4e3b02e1,48.88184103062739,2.257623082539542,,,['France'],Hotel,92200,0,0,ChIJYyt4v8Nv5kcRqArzsLx7ENk,Paris Marriott Champs Elysees Hotel,4.4,1036,"70 Av. des Champs-Élysées, 75008 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8712134,2.305065,3.6752005260421
Meliá La Défense Paris,54e5ebe0498e41036f077fb4,48.88859987794451,2.2504377365112305,92400,Courbevoie,"['3 boulevard de Neuilly', '92400 Courbevoie', 'France']",Hotel,92400,0,108,ChIJn6jHKg5l5kcRa9vb3-L_XCc,Meliá Paris La Défense,4.2,1807,"3 Boulevard de Neuilly, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.8884578,2.2507187,0.025965122353191285
Fraser Suites Harmonie Paris La Défense,4bd5f1189649ce72c5b9511d,48.88797581986726,2.2519037577315872,94200,Courbevoie,"['6 boulevard de Neuilly', '94200 Courbevoie', 'France']",Hotel,92400,0,43,ChIJIykPBxJl5kcRmrZ9of8iM5Y,Fraser Suites Harmonie Paris La Defense,4.2,453,"6 Boulevard de Neuilly Paris, La Défense, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.8879002,2.2520663,0.014588013426059358
Hôtel Novotel Paris La Défense,4adcd9fef964a520753021e3,48.88801611633813,2.252932190895081,92400,Courbevoie,"['2 boulevard de Neuilly', '92400 Courbevoie', 'France']",Hotel,92400,0,69,ChIJrUmJAQ5l5kcRqGmKPcM5Psc,Hotel Novotel Paris La Défense,3.9,1304,"2 Boulevard de Neuilly, 92081 LA DEFENSE, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.88770969999999,2.2525307,0.04503435170729228
Ibis Paris la Défense Centre (Hôtel ibis Paris La Défense Centre),4c50572b8edf0f4791141eaf,48.88802807602403,2.252484261989593,92800,Courbevoie,"['4 boulevard de Neuilly', '92800 Courbevoie', 'France']",Hotel,92400,0,38,ChIJC_y9dW1l5kcRzje1JyPiQN4,Hotel ibis Paris La Défense Centre,3.6,1139,"4 Boulevard de Neuilly, 92400 Courbevoie, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8879419,2.252618099999999,0.013717814285198441
Hôtel Paris Neuilly,4bf04cf5c601a5936e8bc3d1,48.884351639288006,2.2604937225614545,92200,Neuilly-sur-Seine,"['1 avenue de Madrid', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,16,ChIJvxroI3dl5kcRjYJtyMXBTI8,Hôtel de la Jatte - Neuilly,3.8,333,"4 Boulevard du Parc, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8940141,2.2662892,1.1555360903810703
Le Bon Hôtel,561bd0d5498e8c61e0337927,48.88616231666386,2.2610961645841603,92200,Neuilly-sur-Seine,"['13 rue du Château', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,4,ChIJ-_QIt21l5kcR6-fDY2FgV0E,Le Bon Hotel,3.6,220,"13 Rue du Château, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8861544,2.2610579,0.0029411235543424417
Citadines La Défense Paris,4bc8e0b8762beee1c6a23d38,48.88861647409921,2.2527640237082065,92800,Courbevoie,"['1-8 boulevard de Neuilly', '92800 Courbevoie', 'France']",Hotel,92400,0,22,ChIJuf5Naw5l5kcRAFHyza1fbIc,Citadines La Défense Paris (Apart hotel Paris),3.8,576,"Paris La Défense, Les Saisons, 1-8 Boulevard de Neuilly, 92400 Courbevoie, France","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",48.8886066,2.2522933,0.03453790032130759
LA VILLA 100,4c78a9092d3ba14389e68bd0,48.886278000000004,2.262384,,Calvi,"['Hôtel LA VILLA', 'Calvi', 'France']",Hotel,92200,0,0,,,,,,,,,['']
Chambre 1122 🎉,55d0e9ac498e869b7d27ace4,48.88949966430664,2.2499783039093018,,,['France'],Hotel,92400,0,0,,,,,,,,,['']
Hotel Charlemagne,4bc9e5233740b7130e795f65,48.884812329092966,2.258727089901539,92200,Neuilly-sur-Seine,"['1 Rue Charcot', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,4,ChIJEWmtmCNy5kcRRM1dW8DDP_A,Hotel Charlemagne,3.8,216,"1 Rue Charcot, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8846961,2.2586331,0.01464878324049958
Hôtel Kyriad Calais,5c41e696898bdc0032f67174,48.886303999999996,2.25704,62231,Coquelles,"['1 avenue Charles De Gaulle', '62231 Coquelles', 'France']",Hotel,92200,0,0,ChIJy_b231Q-3EcRTqufzzEh66Q,Hôtel de Calais Coquelles,3.3,198,"1 Avenue Charles de Gaulle, 62231 Coquelles, France","['lodging', 'point_of_interest', 'establishment']",50.94164089999999,1.8032302,230.9203389840205
Adagio La Defense Kleber,4fbd64d6e4b04c2c0ab6f715,48.894512767171754,2.2489103797732715,92400,Courbevoie,"['73 avenue Gambetta', '92400 Courbevoie', 'France']",Hotel,92400,0,7,ChIJXaGwyAhl5kcRYdXMFfh-HHs,Aparthotel Adagio La Défense Kleber,3.5,256,"73 Avenue Gambetta, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.8943251,2.248690400000001,0.0263769817661498
Hôtel Mercure Paris La Défense 5,4adcda04f964a520f33121e3,48.8957391630658,2.2513309121131897,92400,Courbevoie,"['18-30 rue Baudin', '92400 Courbevoie', 'France']",Hotel,92400,0,86,ChIJgQ-DGQll5kcRFkjidq-fstk,Hotel Mercure Paris La Défense,3.8,1612,"18 - 30 Rue Baudin, 92400 Courbevoie, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8956429,2.2512439,0.012462227337048052
Hôtel Adagio La Défense Courbevoie,588fbbf1ea1c0d43694d6d4b,48.893599,2.252919,92400,Courbevoie,"['2-4 place des Pléiades', '92400 Courbevoie', 'France']",Hotel,92400,0,6,ChIJI-P-8Qtl5kcRvE-AxVN9G8A,Aparthotel Adagio la Défense Courbevoie,4.2,241,"2-4 Place des Pléiades, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.8933593,2.2531489,0.03153983809399704
Ibis Courbevoie - La Défense,4ce308d8c42f548129da3bb7,48.89576507288177,2.261600157232824,92400,Courbevoie,"['39 quai Paul Doumer', '92400 Courbevoie', 'France']",Hotel,92400,0,19,ChIJ8aXLynVl5kcRs1IkUs_KmxI,Hotel ibis Paris La Défense Courbevoie,3.8,534,"39 Quai du Président Paul Doumer, 92400 Courbevoie, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.895723,2.261909600000001,0.023167090146688687
ibis Budget Courbevoie,4ca6a93f14c33704404dc23b,48.89564845854552,2.261710305897584,92400,Courbevoie,"['37 quai Paul Doumer', '92400 Courbevoie', 'France']",Hotel,92400,0,1,ChIJbcH7SnRl5kcRSo2hPJO9Zug,Hotel ibis budget Courbevoie Paris La Défense 1,3.5,880,"37 Quai du Président Paul Doumer, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.8956529,2.2618675,0.0115367616324941
Best Western Rives de Paris La Defense,5686751a498e167f00f376c5,48.89775222765543,2.262298464775085,92400,Courbevoie,"['85 Boulevard Saint-Denis', '92400 Courbevoie', 'France']",Hotel,92400,0,0,ChIJT8ir9nVl5kcRbEdXGNHP-co,Best Western Hôtel Rives de Paris La Défense,3.9,189,"85 Boulevard Saint-Denis, 94200 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.89775299999999,2.2625743,0.020224822473995093
Hotel La Regence,4c9d002654c8a1cdbc877f4b,48.89414976915562,2.2482819040382456,,,['France'],Hotel,92400,0,9,ChIJp8Av2whl5kcRiyPDuKQ-sO8,Hôtel la Régence,4,156,"69 Avenue Gambetta, 92400 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.89424899999999,2.248085,0.018172541632824696
Hotel de la Jatte,4c655044f67ec9288c315727,48.894044532769286,2.26653081980202,92200,Neuilly-sur-Seine,"['4 boulevard du Parc (Pont de la Jatte)', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,6,ChIJvxroI3dl5kcRjYJtyMXBTI8,Hôtel de la Jatte - Neuilly,3.8,333,"4 Boulevard du Parc, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8940141,2.2662892,0.018037576329412778
Hotel Citea,4e511d9dc65bb313ba9ce01e,48.89582,2.25094,92400,Courbevoie,"['1 rue Bitche', '92400 Courbevoie', 'France']",Hotel,92400,0,0,ChIJJSFKK8Ju5kcR_0-beuu2exg,Citea - Hotel,,,"16 Boulevard Ornano, 93200 Saint-Denis, France","['lodging', 'point_of_interest', 'establishment']",48.91918709999999,2.3437645,7.284005780683725
Salle de sport - Hotel Mercure La defense,56b247c6498e1e3e5a9ef7ef,48.895664000000004,2.2520279999999997,,,['France'],Resort,92400,0,0,ChIJgQ-DGQll5kcRFkjidq-fstk,Hotel Mercure Paris La Défense,3.8,1612,"18 - 30 Rue Baudin, 92400 Courbevoie, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8956429,2.2512439,0.05754162370347656
Golden Tulip Montpellier Centre,5c41e2525a2c91002c870b29,48.899267,2.263303,34000,Montpellier,"['11 rue Jules Ferry', '34000 Montpellier', 'France']",Hotel,92400,0,0,ChIJ13myBI6vthIR7rmuH8cCnMI,Hôtel Golden Tulip Montpellier Centre St Roch,4.8,6,"11 Rue Pagezy, 34000 Montpellier, France","['lodging', 'point_of_interest', 'establishment']",43.6050535,3.879162999999999,601.4911456469508
Kyriad Paris Ouest - La Défense Courbevoie,4da60340f7b192b486642157,48.8982,2.2625305556,92400,Courbevoie,"['85 boulevard Saint-Denis', '92400 COURBEVOIE', 'France']",Hotel,92400,0,0,ChIJT8ir9nVl5kcRbEdXGNHP-co,Best Western Hôtel Rives de Paris La Défense,3.9,189,"85 Boulevard Saint-Denis, 94200 Courbevoie, France","['lodging', 'point_of_interest', 'establishment']",48.89775299999999,2.2625743,0.04981323548503928
Paris d'Issy Hôtel Porte de Versailles,584e5c8f6431e51a666e1674,48.823419,2.272769,92130,Issy-les-Moulineaux,"['4 rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,1,ChIJjTO_FYJ65kcR-OXWHvE6y0M,Hôtel Paris d'Issy Hôtel porte de Versailles,4.3,207,"4 Rue Auguste Gervais, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8234917,2.2728881,0.011909931975322679
Ibis Styles Clamart Gare Grand Paris,5a4e703db0405618ead40cda,48.814564000000004,2.2745667000000003,92140,Clamart,"['11 Rue du Clos Mutholon', '92140 Clamart', 'France']",Hotel,92140,0,0,ChIJGSIK0YFw5kcRvnZYn6V_H_c,Hôtel ibis Styles Clamart Gare Grand Paris,4.1,157,"11 Bis Rue du Clos Montholon, 92140 Clamart, France","['lodging', 'point_of_interest', 'establishment']",48.8145,2.2744781,0.009643455978928666
Best Western Paris Porte de Versailles,50d234c3e4b020c4cab0524e,48.823535045580044,2.274684637768587,92130,Issy-les-Moulineaux,"['11 bis avenue Jean Jaurès', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,5,ChIJuS92oXhw5kcRvGNHL17icl4,Best Western Paris Porte de Versailles,3.8,193,"11 bis Avenue Jean Jaurès, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.823522,2.2747494,0.004971854738538797
Hôtel Ibis Porte de Versailles Mairie d'Issy,4bd109ce20cd99601ca92e9e,48.82330814088078,2.27475566214576,92130,Issy-les-Moulineaux,"['15 avenue Jean Jaurès', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,5,ChIJX0Huo3hw5kcRk3uQPAeBa8E,Hotel ibis Paris Porte de Versailles Mairie d'Issy,3.3,284,"15 Avenue Jean Jaurès, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8233512,2.2749305,0.013702312468085908
Hôtel Bootcamp by HappyCulture,57dfd541498e32d8ee44cf6f,48.8233855,2.272926,92130,Issy-les-Moulineaux,"['6 rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,1,ChIJF5dAFoJ65kcRXooqiUa4hDA,Hôtel BootCamp by HappyCulture,4.1,283,"6 Rue Auguste Gervais, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8233365,2.2729174,0.00548557974348632
